cluster,cell_type,gene_set,tier,score,score_kind,q_value,panel_hits,set_size_full,panel_coverage,n_leading_edge,leading_edge,cluster_confidence,cluster_verify
c1,Tumor,HALLMARK_ANDROGEN_RESPONSE,enriched,9.4595,jazzpanda_enrichment,0.000e+00,6,100,0.0600,5,ALDH1A3;CCND1;KRT8;SCD;SMS,High,FALSE
c1,Tumor,HALLMARK_G2M_CHECKPOINT,enriched,6.4341,jazzpanda_enrichment,1.149e-09,6,200,0.0300,6,CCND1;CENPF;HMGA1;MKI67;SQLE;TOP2A,High,FALSE
c2,Stromal,HALLMARK_INFLAMMATORY_RESPONSE,enriched,14.8698,jazzpanda_enrichment,0.000e+00,8,200,0.0400,8,CCL5;CCR7;CD14;CD69;GPR183;IL7R;SELL;SLAMF1,High,TRUE
c2,Stromal,HALLMARK_ANGIOGENESIS,enriched,14.2976,jazzpanda_enrichment,0.000e+00,5,36,0.1389,4,LPL;LUM;S100A4;STC1,High,TRUE
c2,Stromal,HALLMARK_INTERFERON_GAMMA_RESPONSE,enriched,11.1868,jazzpanda_enrichment,0.000e+00,10,200,0.0500,10,BANK1;CCL5;CD274;CD69;CD86;FGL2;GZMA;PELI1;PIM1;SLAMF7,High,TRUE
c2,Stromal,HALLMARK_ESTROGEN_RESPONSE_LATE,enriched,5.5427,jazzpanda_enrichment,9.184e-08,11,200,0.0550,4,CAV1;CXCL12;DUSP2;TPSAB1,High,TRUE
c3,Macrophages,HALLMARK_INTERFERON_GAMMA_RESPONSE,enriched,6.4605,jazzpanda_enrichment,9.656e-10,10,200,0.0500,7,CCL5;CD274;CD86;FGL2;GZMA;PELI1;PIM1,Medium-High,FALSE
c3,Macrophages,HALLMARK_P53_PATHWAY,enriched,5.1864,jazzpanda_enrichment,1.322e-06,4,200,0.0200,3,LDHB;S100A4;TRAF4,Medium-High,FALSE
c3,Macrophages,HALLMARK_GLYCOLYSIS,enriched,5.0070,jazzpanda_enrichment,2.557e-06,5,200,0.0250,4,CTH;CXCR4;DSC2;EGFR,Medium-High,FALSE
c3,Macrophages,HALLMARK_MTORC1_SIGNALING,enriched,4.7968,jazzpanda_enrichment,5.965e-06,8,200,0.0400,8,CD9;CTH;CXCR4;FGL2;SCD;SQLE;STC1;TUBA4A,Medium-High,FALSE
c3,Macrophages,HALLMARK_ALLOGRAFT_REJECTION,enriched,4.6544,jazzpanda_enrichment,1.002e-05,20,200,0.1000,18,CCL5;CD247;CD3G;CD4;CD79A;CD80;CD86;EGFR;GZMA;IGSF6;IL2RA;IL2RG;KLRD1;LTB;LY86;PRF1;PTPRC;TPD52,Medium-High,FALSE
c3,Macrophages,HALLMARK_KRAS_SIGNALING_UP,enriched,4.0282,jazzpanda_enrichment,1.486e-04,12,200,0.0600,10,ALDH1A3;CXCR4;FCER1G;IL2RG;IL7R;JUP;PDCD1LG2;PECAM1;PIGR;SERPINA3,Medium-High,FALSE
c4,Myoepithelial,HALLMARK_PROTEIN_SECRETION,enriched,29.8455,jazzpanda_enrichment,0.000e+00,3,96,0.0312,3,DST;EGFR;TPD52,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_ALLOGRAFT_REJECTION,enriched,16.0036,jazzpanda_enrichment,0.000e+00,20,200,0.1000,15,CCL5;CD247;CD3G;CD4;CD79A;CD80;CD86;EGFR;IGSF6;IL2RA;IL2RG;LTB;LY86;PRF1;TPD52,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_MITOTIC_SPINDLE,enriched,11.7833,jazzpanda_enrichment,0.000e+00,7,199,0.0352,7,CDC42EP1;CENPF;CTTN;DST;FLNB;TOP2A;TUBA4A,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_HYPOXIA,enriched,11.0795,jazzpanda_enrichment,0.000e+00,8,200,0.0400,8,CAV1;CXCR4;EGFR;PIM1;S100A4;SDC4;STC1;TPD52,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_ADIPOGENESIS,enriched,10.2899,jazzpanda_enrichment,0.000e+00,6,200,0.0300,6,ADIPOQ;CAVIN2;LPL;MYLK;PPARG;SLC5A6,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_GLYCOLYSIS,enriched,10.2518,jazzpanda_enrichment,0.000e+00,5,200,0.0250,5,CTH;CXCR4;DSC2;EGFR;STC1,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_KRAS_SIGNALING_DN,enriched,9.5041,jazzpanda_enrichment,0.000e+00,6,200,0.0300,6,CD80;KRT5;LYPD3;PDCD1;TCL1A;TENT5C,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_XENOBIOTIC_METABOLISM,enriched,7.5004,jazzpanda_enrichment,1.474e-13,7,200,0.0350,6,AKR1C3;ESR1;IGF1;JUP;PDK4;PTGDS,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_HEME_METABOLISM,enriched,7.0389,jazzpanda_enrichment,3.984e-12,3,200,0.0150,3,AQP3;SLC25A37;TENT5C,Medium-High,TRUE
c4,Myoepithelial,HALLMARK_KRAS_SIGNALING_UP,enriched,6.6526,jazzpanda_enrichment,5.326e-11,12,200,0.0600,12,ALDH1A3;CXCR4;FCER1G;IL2RG;IL7R;JUP;PDCD1LG2;PECAM1;PIGR;PRDM1;SERPINA3;TRIB1,Medium-High,TRUE
c5,T_Cells,HALLMARK_APICAL_SURFACE,enriched,14.6811,jazzpanda_enrichment,0.000e+00,3,44,0.0682,3,GATA3;IL2RG;LYPD3,High,FALSE
c5,T_Cells,HALLMARK_P53_PATHWAY,enriched,10.1795,jazzpanda_enrichment,0.000e+00,4,200,0.0200,4,LDHB;MDM2;S100A4;TRAF4,High,FALSE
c5,T_Cells,HALLMARK_GLYCOLYSIS,enriched,10.1498,jazzpanda_enrichment,0.000e+00,5,200,0.0250,5,CTH;CXCR4;DSC2;EGFR;STC1,High,FALSE
c5,T_Cells,HALLMARK_MTORC1_SIGNALING,enriched,8.8727,jazzpanda_enrichment,0.000e+00,8,200,0.0400,8,CD9;CTH;CXCR4;FGL2;SCD;SQLE;STC1;TUBA4A,High,FALSE
c5,T_Cells,HALLMARK_HYPOXIA,enriched,8.7694,jazzpanda_enrichment,0.000e+00,8,200,0.0400,8,CAV1;CXCR4;EGFR;PIM1;S100A4;SDC4;STC1;TPD52,High,FALSE
c5,T_Cells,HALLMARK_PI3K_AKT_MTOR_SIGNALING,enriched,8.7191,jazzpanda_enrichment,0.000e+00,3,105,0.0286,3,CXCR4;EGFR;IL2RG,High,FALSE
