gene,top_cluster,glm_coef,pearson,max_gg_corr,max_gc_corr,cell_type
ABCC11,c1,4.17606060605831,0.592309032242175,0.922389079166101,0.592309032242175,Tumor
ACTA2,c4,5.07275166339682,0.591760181674175,0.818160901532673,0.591760181674175,Myoepithelial
ACTG2,c1,1.27915605160831,0.648746548931103,0.849370762172884,0.648746548931103,Tumor
ADAM9,c1,1.69782593137497,0.847636872880448,0.918254368160973,0.847636872880448,Tumor
ADGRE5,c5,0.472459620565065,0.822685523317836,0.935720229908739,0.822685523317836,T_Cells
ADH1B,c7,0.844408941975747,0.0252778518256844,0.750955846303818,0.275616494746946,Endothelial
ADIPOQ,NoSig,0.0,0.0,0.754149046122023,0.0983268560916024,
AGR3,c1,0.448434623107391,0.501894197122383,0.795188668459239,0.501894197122383,Tumor
AIF1,c3,2.81894868060414,0.812280713209153,0.909730574035763,0.812280713209153,Macrophages
AKR1C1,NoSig,0.0,0.0,0.818053078041615,0.159286781417069,
AKR1C3,NoSig,0.0,0.0,0.592074307618087,0.467019438725499,
ALDH1A3,NoSig,0.0,0.0,0.673126724144223,0.281509767366087,
ANGPT2,c7,0.639077613557642,0.531631861744052,0.633380469257347,0.531631861744052,Endothelial
ANKRD28,c1,0.255219486314013,0.693447767330073,0.901873760798722,0.693447767330073,Tumor
ANKRD29,c7,0.696500985374093,0.655288251650568,0.738066097674703,0.655288251650568,Endothelial
ANKRD30A,c1,6.70300783794185,0.893436056282489,0.965669220101429,0.893436056282489,Tumor
APOBEC3A,NoSig,0.0,0.0,0.68721960387234,0.436454664666764,
APOBEC3B,NoSig,0.0,0.0,0.803229865562552,0.624716822738203,
APOC1,c3,2.40745847568004,0.36705055488469,0.735898523205367,0.36705055488469,Macrophages
AQP1,c7,7.37164632847761,0.748250487930183,0.833110899484167,0.748250487930183,Endothelial
AQP3,c1,0.345508678522612,0.230687098317134,0.840148297342929,0.230687098317134,Tumor
AR,c1,1.39978607460568,0.896944917920937,0.957320647186984,0.896944917920937,Tumor
AVPR1A,c7,0.348760455564407,0.329061703320773,0.650447866479619,0.358998227345255,Endothelial
BACE2,c1,0.439544489885782,0.554077458673643,0.744377622896109,0.554077458673643,Tumor
BANK1,c6,1.57741249633245,0.714977624098961,0.938723874159466,0.714977624098961,B_Cells
BASP1,c2,1.80304898602043,0.580087244070733,0.694068649720829,0.580087244070733,Stromal
C15orf48,c3,0.968931477227737,0.475663839010358,0.651859852757091,0.475663839010358,Macrophages
C1QA,c3,0.919995352745373,0.612203836916901,0.894189587728246,0.612203836916901,Macrophages
C1QC,c3,1.40256173132622,0.717419437510955,0.888593910001853,0.717419437510955,Macrophages
C2orf42,NoSig,0.0,0.0,0.849166953418475,0.632607203916595,
C5orf46,c4,0.289241322387873,0.631563367754693,0.816711314041715,0.631563367754693,Myoepithelial
C6orf132,c1,0.388377037488453,0.891164063897132,0.940739316051643,0.891164063897132,Tumor
CAV1,c7,3.00642138525477,0.502199363185801,0.771800432247514,0.562009325676783,Endothelial
CAVIN2,c7,0.449615281450898,0.357600707722925,0.612531335149758,0.368015001913707,Endothelial
CCDC6,c1,1.92925990566326,0.887793905395294,0.968040200366089,0.887793905395294,Tumor
CCDC80,c2,6.93759860179172,0.791363166956382,0.89994585819675,0.791363166956382,Stromal
CCL5,c5,1.23988992642857,0.858955976512351,0.946343691494936,0.858955976512351,T_Cells
CCL8,NoSig,0.0,0.0,0.426405052572656,0.401226669043462,
CCND1,c1,8.01889644567907,0.863136257407863,0.942747772960694,0.863136257407863,Tumor
CCPG1,c1,0.502902441359546,0.51625655690042,0.878395260636824,0.57883152265359,Tumor
CCR7,c5,0.702997274471462,0.809407440834565,0.892171915389528,0.809407440834565,T_Cells
CD14,c3,0.975946556630102,0.544888640138068,0.848622906461743,0.554857112073962,Macrophages
CD163,c3,1.82767767009759,0.691587870836743,0.894189587728246,0.691587870836743,Macrophages
CD19,c6,0.463608338228334,0.722584591175376,0.924315705346234,0.722584591175376,B_Cells
CD247,c5,0.635258113843728,0.900953027218738,0.968625714413328,0.900953027218738,T_Cells
CD27,c5,0.245412468186207,0.779172175337419,0.907571721681918,0.779172175337419,T_Cells
CD274,NoSig,0.0,0.0,0.781914557570643,0.698347592925123,
CD3E,c5,2.76671692970136,0.94098775477452,0.984022698410764,0.94098775477452,T_Cells
CD3G,c5,0.752219874202138,0.929940802497785,0.970268919520442,0.929940802497785,T_Cells
CD4,c3,4.01551889637532,0.852732711765857,0.941882726870825,0.852732711765857,Macrophages
CD68,c3,4.49143801514063,0.701896585008547,0.929827336730446,0.701896585008547,Macrophages
CD69,c5,0.701166276633647,0.740018827979923,0.934382807516248,0.740018827979923,T_Cells
CD79A,c6,0.943845610505176,0.77610526900368,0.815217165654564,0.77610526900368,B_Cells
CD79B,c6,0.243828506808129,0.820082603167652,0.790291152554462,0.820082603167652,B_Cells
CD80,NoSig,0.0,0.0,0.725712248296569,0.603930087861986,
CD83,c3,0.932711631932813,0.69979122081575,0.746907757746012,0.69979122081575,Macrophages
CD86,c3,0.853827768837607,0.667916949926446,0.843731051381992,0.667916949926446,Macrophages
CD8A,c5,1.2486744718319,0.825653387646231,0.946343691494936,0.825653387646231,T_Cells
CD9,c1,4.19494902728533,0.877394218318639,0.946402386538812,0.877394218318639,Tumor
CD93,c7,3.69516554370106,0.776499320857472,0.90966347370299,0.776499320857472,Endothelial
CDC42EP1,c4,0.251338531894664,0.501394018586065,0.841303159067047,0.61425850973208,Myoepithelial
CDH1,c1,4.47013135969297,0.864608051822366,0.938898665149957,0.864608051822366,Tumor
CEACAM6,c1,3.46405373780111,0.517011200519113,0.882806368111588,0.517011200519113,Tumor
CEACAM8,NoSig,0.0,0.0,0.882806368111588,0.623323223502513,
CENPF,c1,0.660859028218856,0.803208634683851,0.923615087084965,0.803208634683851,Tumor
CLEC14A,c7,1.9131632325558,0.721366936460242,0.887619675104618,0.721366936460242,Endothelial
CLEC9A,NoSig,0.0,0.0,0.646737113988673,0.51868634968833,
CLECL1,NoSig,0.0,0.0,0.814776862719962,0.659524849352548,
CLIC6,NoSig,0.0,0.0,0.536089365451327,0.418679485391082,
CPA3,c9,1.95002341191202,0.416590960889766,0.750660087229604,0.435165783180411,Mast_Cells
CRISPLD2,c2,1.61665032245707,0.753325993437221,0.842035129089342,0.753325993437221,Stromal
CTH,NoSig,0.0,0.0,0.720478699814836,0.446403344289012,
CTLA4,c5,0.434127984199961,0.832275851836778,0.896615432001462,0.832275851836778,T_Cells
CTSG,c9,0.746097697989979,0.289284195123902,0.750660087229604,0.314556104162657,Mast_Cells
CTTN,c1,3.68349724548463,0.895782958852535,0.962096619237305,0.895782958852535,Tumor
CX3CR1,c4,0.220265731958235,0.495258876418212,0.667852000247799,0.507883239264231,Myoepithelial
CXCL12,c2,6.45297727268221,0.762391466166941,0.874191379960815,0.762391466166941,Stromal
CXCL16,c1,0.249714459454544,0.60057090390485,0.797102467872616,0.60057090390485,Tumor
CXCL5,NoSig,0.0,0.0,0.352504215653153,0.284010727268396,
CXCR4,c5,2.69490908635568,0.620058693160039,0.944231200220426,0.620058693160039,T_Cells
CYTIP,c5,0.990044694502408,0.668848666323961,0.944231200220426,0.668848666323961,T_Cells
DAPK3,NoSig,0.0,0.0,0.873063775976198,0.756956097865795,
DMKN,NoSig,0.0,0.0,0.864692434898347,0.734281363705919,
DNAAF1,NoSig,0.0,0.0,0.537445588191305,0.384307576625162,
DNTTIP1,c1,0.354006067833985,0.738918157087261,0.935320460432682,0.738918157087261,Tumor
DPT,c2,0.745835462007894,0.710618584992225,0.724969672599453,0.710618584992225,Stromal
DSC2,c4,1.89811513932248,0.550654049699505,0.810580577465701,0.550654049699505,Myoepithelial
DSP,c4,3.00675941597862,0.439835495107748,0.928272458942856,0.833463751407696,Myoepithelial
DST,c4,7.20926420244514,0.714686404875029,0.818034626275049,0.714686404875029,Myoepithelial
DUSP2,c5,0.200247832657568,0.749448157199758,0.794820852996024,0.749448157199758,T_Cells
DUSP5,c1,0.273442293495856,0.575364823339778,0.836842395372639,0.575364823339778,Tumor
EGFL7,c7,0.561031111209793,0.75565832271007,0.716710515963446,0.75565832271007,Endothelial
EGFR,c4,0.930827961723081,0.599168751803481,0.80043623530881,0.599168751803481,Myoepithelial
EIF4EBP1,c1,0.36458074562131,0.74428862194504,0.899657825324909,0.74428862194504,Tumor
ENAH,c1,2.19774056531015,0.814291189200954,0.93421413104905,0.814291189200954,Tumor
EPCAM,c1,9.51709783504036,0.93259630970736,0.964584312362687,0.93259630970736,Tumor
ERBB2,c1,21.4378453933592,0.906160189145375,0.929441174999956,0.906160189145375,Tumor
ERN1,c2,0.816300406399247,0.489347338869947,0.851538523762399,0.654470345020253,Stromal
ESM1,NoSig,0.0,0.0,0.60874822289061,0.441258762518519,
ESR1,c4,1.14750284300526,0.39005676523861,0.727673656433671,0.393106329935916,Myoepithelial
FAM107B,c1,0.785409451188997,0.43987969634245,0.851538523762399,0.61469884501178,Tumor
FAM49A,NoSig,0.0,0.0,0.833966718049711,0.644274440634377,
FASN,c1,5.9399534765138,0.889500465167697,0.944160793051095,0.889500465167697,Tumor
FBLN1,c2,2.37760870525471,0.730866429404264,0.89994585819675,0.730866429404264,Stromal
FCER1A,c3,0.494922441204165,0.531331324003986,0.690365516576836,0.531331324003986,Macrophages
FCER1G,c3,4.73232414767625,0.76217644343644,0.929827336730446,0.76217644343644,Macrophages
FCGR3A,c3,0.972265723407733,0.534171539852384,0.726172569064862,0.534171539852384,Macrophages
FGL2,c3,2.97406906341402,0.76571901998082,0.909730574035763,0.76571901998082,Macrophages
FLNB,c1,1.95470954828789,0.771385617064906,0.915845085342383,0.771385617064906,Tumor
FOXA1,c1,8.41422713410441,0.921913471599237,0.967717369326651,0.921913471599237,Tumor
FOXC2,NoSig,0.0,0.0,0.721814121454799,0.539623626164828,
FOXP3,NoSig,0.0,0.0,0.756946078436124,0.666894940703327,
FSTL3,NoSig,0.0,0.0,0.782602996676856,0.380270019112587,
GATA3,c1,7.83390226845543,0.83831794068687,0.942984997297545,0.83831794068687,Tumor
GJB2,c2,0.957335305824111,0.453270908354097,0.701000997061043,0.453270908354097,Stromal
GLIPR1,c2,0.724179557798651,0.641027976418442,0.90825572851957,0.72691937519765,Stromal
GNLY,NoSig,0.0,0.0,0.822990762222637,0.744809080428596,
GPR183,c5,0.717754366355302,0.680763569660424,0.940406784279594,0.680763569660424,T_Cells
GZMA,c5,0.722481602582369,0.871442228444913,0.943347326139107,0.871442228444913,T_Cells
GZMK,NoSig,0.0,0.0,0.766932739873222,0.70437676267887,
HAVCR2,c3,1.22610059442677,0.779793502741515,0.909952576693408,0.779793502741515,Macrophages
HMGA1,c1,1.52248205112404,0.65585797221783,0.899657825324909,0.65585797221783,Tumor
HOOK2,c1,0.406376071616155,0.739812096879296,0.912473288019786,0.739812096879296,Tumor
HOXD8,c1,0.344564483504149,0.666529194819985,0.862776769580476,0.666529194819985,Tumor
HOXD9,c7,0.672352110918066,0.677872103988525,0.78585743113291,0.677872103988525,Endothelial
HPX,NoSig,0.0,0.0,0.872628570658377,0.690520702144251,
IGF1,c2,1.28004688064945,0.65959003850523,0.760009028310061,0.65959003850523,Stromal
IGSF6,c3,2.00152123927858,0.793626902217851,0.890094169909909,0.793626902217851,Macrophages
IL2RA,NoSig,0.0,0.0,0.646856246810102,0.50200143954542,
IL2RG,c5,1.22822052928301,0.867139309665492,0.968066530187182,0.867139309665492,T_Cells
IL3RA,c7,0.538557794819753,0.669576359415552,0.773014128302378,0.669576359415552,Endothelial
IL7R,c5,3.39531474085941,0.818496676295654,0.943845149693841,0.818496676295654,T_Cells
ITGAM,c3,0.521286591295566,0.692210182524294,0.841667577275118,0.692210182524294,Macrophages
ITGAX,c3,1.90760080626128,0.779504931954873,0.875248532367124,0.779504931954873,Macrophages
ITM2C,c2,1.65558794819172,0.685498906802453,0.876553072932276,0.685498906802453,Stromal
JUP,c1,1.15123901790138,0.645184175168774,0.861147605144592,0.645184175168774,Tumor
KARS,c1,0.456718486398883,0.759432104779467,0.896411093395765,0.759432104779467,Tumor
KDR,c7,1.20954641938507,0.548886232139367,0.77684490961482,0.548886232139367,Endothelial
KIT,c4,1.10329179403771,0.653740265776736,0.705920754852154,0.653740265776736,Myoepithelial
KLF5,c1,0.778903675195878,0.774833263191293,0.892383605962618,0.774833263191293,Tumor
KLRB1,c5,0.830966009274534,0.710671468665282,0.943845149693841,0.710671468665282,T_Cells
KLRC1,NoSig,0.0,0.0,0.880245304498786,0.665139799891865,
KLRD1,c5,0.263552060175585,0.669806806703145,0.880245304498786,0.669806806703145,T_Cells
KLRF1,NoSig,0.0,0.0,0.658972425384104,0.552972060840643,
KRT14,c4,4.6480681647137,0.834825476994553,0.879217955243921,0.834825476994553,Myoepithelial
KRT23,c4,1.21487010153997,0.414358860177272,0.600859575266359,0.414358860177272,Myoepithelial
KRT5,c4,3.38656886111082,0.88789469491129,0.879217955243921,0.88789469491129,Myoepithelial
KRT6B,c4,1.98940016738698,0.700638734793981,0.816711314041715,0.700638734793981,Myoepithelial
KRT7,c1,13.4791912852199,0.915787770740654,0.968649020953259,0.915787770740654,Tumor
KRT8,c1,6.88953140886534,0.929662949835615,0.968649020953259,0.929662949835615,Tumor
LAG3,NoSig,0.0,0.0,0.689209605843557,0.533228355152607,
LARS,c1,1.32155736302917,0.841897031631144,0.971303669435285,0.841897031631144,Tumor
LDHB,c5,0.829754226071404,0.718918544996499,0.90825572851957,0.718918544996499,T_Cells
LGALSL,NoSig,0.0,0.0,0.86413210061714,0.748218954979279,
LILRA4,c8,1.74937550383414,0.836268732135421,0.880973075929252,0.836268732135421,Dendritic
LPL,NoSig,0.0,0.0,0.754149046122023,0.299874159205581,
LPXN,c5,0.456214969655948,0.800552698474219,0.935007181030174,0.800552698474219,T_Cells
LRRC15,c2,0.871073952700863,0.736514315337892,0.823054188411159,0.736514315337892,Stromal
LTB,c5,0.430135396731191,0.834076390891009,0.938597091992263,0.834076390891009,T_Cells
LUM,c2,17.9978807964945,0.908125030077264,0.892434651041087,0.908125030077264,Stromal
LY86,c3,0.250370143626692,0.69660184300567,0.798964395455106,0.69660184300567,Macrophages
LYPD3,c1,1.97277568886189,0.903534677655551,0.942856600223007,0.903534677655551,Tumor
LYZ,c3,11.8370830670259,0.84399056259452,0.875248532367124,0.84399056259452,Macrophages
MAP3K8,NoSig,0.0,0.0,0.831051660630909,0.556021908607417,
MDM2,c1,3.26923516688047,0.850649424218502,0.946577227089993,0.850649424218502,Tumor
MKI67,c1,0.372306737356671,0.796983692787762,0.923615087084965,0.796983692787762,Tumor
MLPH,c1,4.81959873595587,0.930408340673454,0.967717369326651,0.930408340673454,Tumor
MMP1,c3,0.882604587269448,0.210572083473296,0.382760416977134,0.210572083473296,Macrophages
MMP12,c3,0.940600258588285,0.147928102306512,0.391289362411371,0.147928102306512,Macrophages
MMP2,c2,5.10575157547197,0.623138624473248,0.753538424658749,0.623138624473248,Stromal
MMRN2,c7,1.51519617639219,0.825711133962277,0.868398775750715,0.825711133962277,Endothelial
MNDA,c3,1.07491921323283,0.71400968846983,0.884315577858625,0.71400968846983,Macrophages
MRC1,c3,1.39080952724509,0.550648380933373,0.849274063714815,0.550648380933373,Macrophages
MS4A1,c6,2.54976579250807,0.821674594989734,0.938723874159466,0.821674594989734,B_Cells
MUC6,c1,0.375039213017552,0.1558447855637,0.850651056503581,0.288918262481017,Tumor
